,number,value,datetime_start,datetime_complete,duration,params_gnn_layer_type,params_learning_rate,params_n_gnn_layers,params_n_linear_layers,params_n_neurons,state
0,0,0.624,2024-04-04 01:52:03.068959,2024-04-04 01:52:03.986592,0 days 00:00:00.917633,GCN,0.05401,2,2,112,COMPLETE
1,1,0.334,2024-04-04 01:52:04.030808,2024-04-04 01:52:05.006135,0 days 00:00:00.975327,GCN,0.08900999999999999,2,3,144,COMPLETE
2,2,0.548,2024-04-04 01:52:05.039037,2024-04-04 01:52:06.894125,0 days 00:00:01.855088,GIN,0.00701,3,3,208,COMPLETE
3,3,0.319,2024-04-04 01:52:06.934380,2024-04-04 01:52:08.220847,0 days 00:00:01.286467,Graph_Sage,0.07901,1,3,176,COMPLETE
4,4,0.7,2024-04-04 01:52:08.244276,2024-04-04 01:52:09.116557,0 days 00:00:00.872281,GIN,0.05201000000000001,2,1,128,COMPLETE
5,5,0.321,2024-04-04 01:52:09.139023,2024-04-04 01:52:10.186219,0 days 00:00:01.047196,GIN,0.06101,2,2,176,COMPLETE
6,6,0.806,2024-04-04 01:52:10.215223,2024-04-04 01:52:11.041899,0 days 00:00:00.826676,GIN,0.06901,1,1,64,COMPLETE
7,7,0.846,2024-04-04 01:52:11.063450,2024-04-04 01:52:11.744032,0 days 00:00:00.680582,GIN,0.03601000000000001,1,1,32,COMPLETE
8,8,0.385,2024-04-04 01:52:11.766599,2024-04-04 01:52:12.520591,0 days 00:00:00.753992,Graph_Sage,0.06501,1,2,48,COMPLETE
9,9,0.597,2024-04-04 01:52:12.544610,2024-04-04 01:52:13.296138,0 days 00:00:00.751528,GIN,0.01301,3,1,32,COMPLETE
10,10,0.846,2024-04-04 01:52:13.319605,2024-04-04 01:52:14.115910,0 days 00:00:00.796305,GCN,0.03101,1,1,256,COMPLETE
11,11,0.85,2024-04-04 01:52:14.149051,2024-04-04 01:52:14.899036,0 days 00:00:00.749985,GCN,0.02901,1,1,256,COMPLETE
12,12,0.847,2024-04-04 01:52:14.920740,2024-04-04 01:52:15.638838,0 days 00:00:00.718098,GCN,0.03001,1,1,256,COMPLETE
