,number,value,datetime_start,datetime_complete,duration,params_gnn_layer_type,params_learning_rate,params_n_gnn_layers,params_n_linear_layers,params_n_neurons,state
0,0,0.696969696969697,2024-04-04 01:55:26.465597,2024-04-04 01:55:27.452892,0 days 00:00:00.987295,GCN,0.05401,2,2,112,COMPLETE
1,1,0.6666666666666666,2024-04-04 01:55:27.481571,2024-04-04 01:55:28.435867,0 days 00:00:00.954296,GCN,0.08900999999999999,2,3,144,COMPLETE
2,2,0.7151515151515152,2024-04-04 01:55:28.459375,2024-04-04 01:55:29.462031,0 days 00:00:01.002656,GIN,0.00701,3,3,208,COMPLETE
3,3,0.6606060606060606,2024-04-04 01:55:29.484133,2024-04-04 01:55:30.224392,0 days 00:00:00.740259,Graph_Sage,0.07901,1,3,176,COMPLETE
4,4,0.7636363636363637,2024-04-04 01:55:30.249830,2024-04-04 01:55:31.098149,0 days 00:00:00.848319,GIN,0.05201000000000001,2,1,128,COMPLETE
5,5,0.6909090909090909,2024-04-04 01:55:31.119983,2024-04-04 01:55:32.027997,0 days 00:00:00.908014,GIN,0.06101,2,2,176,COMPLETE
6,6,0.7151515151515152,2024-04-04 01:55:32.050861,2024-04-04 01:55:32.698987,0 days 00:00:00.648126,GIN,0.06901,1,1,64,COMPLETE
7,7,0.7151515151515152,2024-04-04 01:55:32.720753,2024-04-04 01:55:33.376457,0 days 00:00:00.655704,GIN,0.03601000000000001,1,1,32,COMPLETE
8,8,0.7515151515151515,2024-04-04 01:55:33.397715,2024-04-04 01:55:34.094137,0 days 00:00:00.696422,Graph_Sage,0.06501,1,2,48,COMPLETE
9,9,0.6787878787878788,2024-04-04 01:55:34.115566,2024-04-04 01:55:34.903198,0 days 00:00:00.787632,GIN,0.01301,3,1,32,COMPLETE
10,10,0.7090909090909091,2024-04-04 01:55:34.927600,2024-04-04 01:55:36.311404,0 days 00:00:01.383804,GCN,0.033010000000000005,3,1,256,COMPLETE
11,11,0.7272727272727273,2024-04-04 01:55:36.337591,2024-04-04 01:55:37.152402,0 days 00:00:00.814811,Graph_Sage,0.042010000000000006,1,2,96,COMPLETE
12,12,0.696969696969697,2024-04-04 01:55:37.176779,2024-04-04 01:55:38.061863,0 days 00:00:00.885084,Graph_Sage,0.07300999999999999,2,2,80,COMPLETE
13,13,0.7393939393939394,2024-04-04 01:55:38.085593,2024-04-04 01:55:38.774758,0 days 00:00:00.689165,Graph_Sage,0.09701,1,1,16,COMPLETE
14,14,0.7333333333333333,2024-04-04 01:55:38.802645,2024-04-04 01:55:39.794941,0 days 00:00:00.992296,Graph_Sage,0.02301,2,2,128,COMPLETE
15,15,0.7454545454545455,2024-04-04 01:55:39.822882,2024-04-04 01:55:40.576208,0 days 00:00:00.753326,GIN,0.05201000000000001,1,1,64,COMPLETE
16,16,0.696969696969697,2024-04-04 01:55:40.612121,2024-04-04 01:55:41.804769,0 days 00:00:01.192648,Graph_Sage,0.06201,3,3,160,COMPLETE
17,17,0.6606060606060606,2024-04-04 01:55:41.832760,2024-04-04 01:55:42.895989,0 days 00:00:01.063229,GIN,0.08401,2,2,224,COMPLETE
18,18,0.7090909090909091,2024-04-04 01:55:42.917362,2024-04-04 01:55:43.696637,0 days 00:00:00.779275,Graph_Sage,0.041010000000000005,2,1,48,COMPLETE
19,19,0.6787878787878788,2024-04-04 01:55:43.722121,2024-04-04 01:55:44.592621,0 days 00:00:00.870500,GCN,0.06401,1,2,112,COMPLETE
20,20,0.6909090909090909,2024-04-04 01:55:44.613685,2024-04-04 01:55:45.488601,0 days 00:00:00.874916,GIN,0.02701,3,3,80,COMPLETE
21,21,0.7212121212121212,2024-04-04 01:55:45.511948,2024-04-04 01:55:46.242232,0 days 00:00:00.730284,GIN,0.05201000000000001,1,1,64,COMPLETE
22,22,0.7333333333333333,2024-04-04 01:55:46.264500,2024-04-04 01:55:46.987119,0 days 00:00:00.722619,GIN,0.05101000000000001,1,1,16,COMPLETE
23,23,0.696969696969697,2024-04-04 01:55:47.009173,2024-04-04 01:55:47.720939,0 days 00:00:00.711766,GIN,0.04601,1,1,48,COMPLETE
24,24,0.7393939393939394,2024-04-04 01:55:47.747933,2024-04-04 01:55:48.473216,0 days 00:00:00.725283,GIN,0.058010000000000006,1,1,96,COMPLETE
25,25,0.7696969696969697,2024-04-04 01:55:48.495858,2024-04-04 01:55:49.202166,0 days 00:00:00.706308,Graph_Sage,0.07201,1,1,64,COMPLETE
26,26,0.7151515151515152,2024-04-04 01:55:49.228310,2024-04-04 01:55:50.084678,0 days 00:00:00.856368,Graph_Sage,0.07400999999999999,2,2,128,COMPLETE
27,27,0.7393939393939394,2024-04-04 01:55:50.109415,2024-04-04 01:55:50.816413,0 days 00:00:00.706998,Graph_Sage,0.06801,1,1,96,COMPLETE
28,28,0.6606060606060606,2024-04-04 01:55:50.846540,2024-04-04 01:55:51.643193,0 days 00:00:00.796653,Graph_Sage,0.09000999999999999,2,2,48,COMPLETE
29,29,0.7090909090909091,2024-04-04 01:55:51.665420,2024-04-04 01:55:52.705795,0 days 00:00:01.040375,GCN,0.08301,2,2,160,COMPLETE
30,30,0.7333333333333333,2024-04-04 01:55:52.728507,2024-04-04 01:55:53.455565,0 days 00:00:00.727058,Graph_Sage,0.07601,1,1,112,COMPLETE
31,31,0.7272727272727273,2024-04-04 01:55:53.479078,2024-04-04 01:55:54.195537,0 days 00:00:00.716459,Graph_Sage,0.056010000000000004,1,1,64,COMPLETE
32,32,0.7272727272727273,2024-04-04 01:55:54.220923,2024-04-04 01:55:55.017883,0 days 00:00:00.796960,GCN,0.04601,1,1,80,COMPLETE
33,33,0.7272727272727273,2024-04-04 01:55:55.044104,2024-04-04 01:55:55.725700,0 days 00:00:00.681596,GIN,0.06601,1,1,32,COMPLETE
34,34,0.7212121212121212,2024-04-04 01:55:55.755473,2024-04-04 01:55:56.473099,0 days 00:00:00.717626,GIN,0.05501,1,3,112,COMPLETE
35,35,0.7393939393939394,2024-04-04 01:55:56.495746,2024-04-04 01:55:57.427980,0 days 00:00:00.932234,Graph_Sage,0.04701,2,1,208,COMPLETE
36,36,0.7393939393939394,2024-04-04 01:55:57.451105,2024-04-04 01:55:58.154193,0 days 00:00:00.703088,GIN,0.06001,1,1,144,COMPLETE
37,37,0.7515151515151515,2024-04-04 01:55:58.176085,2024-04-04 01:55:58.945437,0 days 00:00:00.769352,GCN,0.06801,1,3,64,COMPLETE
38,38,0.8181818181818182,2024-04-04 01:55:58.967279,2024-04-04 01:55:59.843995,0 days 00:00:00.876716,GCN,0.07201,2,3,32,COMPLETE
39,39,0.3393939393939394,2024-04-04 01:55:59.871450,2024-04-04 01:56:00.765193,0 days 00:00:00.893743,GCN,1e-05,2,3,16,COMPLETE
40,40,0.7575757575757576,2024-04-04 01:56:00.792383,2024-04-04 01:56:01.678886,0 days 00:00:00.886503,GCN,0.08001,2,3,32,COMPLETE
41,41,0.7757575757575758,2024-04-04 01:56:01.703242,2024-04-04 01:56:02.613601,0 days 00:00:00.910359,GCN,0.08101,2,3,32,COMPLETE
42,42,0.8,2024-04-04 01:56:02.636270,2024-04-04 01:56:03.551618,0 days 00:00:00.915348,GCN,0.09301,2,3,32,COMPLETE
43,43,0.6606060606060606,2024-04-04 01:56:03.576453,2024-04-04 01:56:04.538268,0 days 00:00:00.961815,GCN,0.09901,2,3,32,COMPLETE
44,44,0.6606060606060606,2024-04-04 01:56:04.561547,2024-04-04 01:56:05.487682,0 days 00:00:00.926135,GCN,0.09401,2,3,16,COMPLETE
45,45,0.7393939393939394,2024-04-04 01:56:05.514587,2024-04-04 01:56:06.688606,0 days 00:00:01.174019,GCN,0.08800999999999999,3,3,48,COMPLETE
46,46,0.7454545454545455,2024-04-04 01:56:06.712343,2024-04-04 01:56:07.684503,0 days 00:00:00.972160,GCN,0.09000999999999999,2,3,32,COMPLETE
47,47,0.6606060606060606,2024-04-04 01:56:07.713613,2024-04-04 01:56:08.898710,0 days 00:00:01.185097,GCN,0.07201,2,3,192,COMPLETE
48,48,0.6606060606060606,2024-04-04 01:56:08.926926,2024-04-04 01:56:10.056261,0 days 00:00:01.129335,GCN,0.08101,3,3,80,COMPLETE
49,49,0.793939393939394,2024-04-04 01:56:10.082209,2024-04-04 01:56:10.935983,0 days 00:00:00.853774,GCN,0.08701,2,3,16,COMPLETE
50,50,0.7636363636363637,2024-04-04 01:56:10.959078,2024-04-04 01:56:11.793276,0 days 00:00:00.834198,GCN,0.09401,2,3,16,COMPLETE
51,51,0.8121212121212121,2024-04-04 01:56:11.816817,2024-04-04 01:56:12.690870,0 days 00:00:00.874053,GCN,0.08401,2,3,48,COMPLETE
52,52,0.7333333333333333,2024-04-04 01:56:12.713859,2024-04-04 01:56:13.626068,0 days 00:00:00.912209,GCN,0.08501,2,3,32,COMPLETE
